threshold,precision,recall,f1,tn,fp,fn,tp,predicted_positive_rate,false_positive_rate,false_negative_rate,specificity,balanced_accuracy,selected_candidate_rules
0.79,0.9850746268656716,0.4719904648390942,0.6381950040290089,1345,6,443,396,0.18356164383561643,0.0044411547002220575,0.5280095351609059,0.9955588452997779,0.7337746550694361,
0.8,0.985,0.4696066746126341,0.6359967715899919,1345,6,445,394,0.182648401826484,0.0044411547002220575,0.5303933253873659,0.9955588452997779,0.732582759956206,
0.81,0.9847715736040609,0.46245530393325385,0.6293592862935928,1345,6,451,388,0.17990867579908676,0.0044411547002220575,0.5375446960667462,0.9955588452997779,0.7290070746165158,
0.82,0.984375,0.4505363528009535,0.6181520850367948,1345,6,461,378,0.17534246575342466,0.0044411547002220575,0.5494636471990465,0.9955588452997779,0.7230475990503658,
0.83,0.9888579387186629,0.4231227651966627,0.5926544240400667,1347,4,484,355,0.1639269406392694,0.0029607698001480384,0.5768772348033373,0.997039230199852,0.7100809976982574,
0.84,0.9887323943661972,0.41835518474374256,0.5879396984924623,1347,4,488,351,0.16210045662100456,0.0029607698001480384,0.5816448152562574,0.997039230199852,0.7076972074717973,
0.85,0.9887005649717514,0.4171632896305125,0.586756077116513,1347,4,489,350,0.16164383561643836,0.0029607698001480384,0.5828367103694875,0.997039230199852,0.7071012599151822,
0.86,0.9914772727272727,0.4159713945172825,0.5860621326616289,1348,3,490,349,0.16073059360730593,0.0022205773501110288,0.5840286054827175,0.997779422649889,0.7068754085835858,
0.87,0.9914529914529915,0.41477949940405245,0.584873949579832,1348,3,491,348,0.16027397260273973,0.0022205773501110288,0.5852205005959475,0.997779422649889,0.7062794610269707,
0.88,0.9914285714285714,0.4135876042908224,0.5836837678721615,1348,3,492,347,0.1598173515981735,0.0022205773501110288,0.5864123957091776,0.997779422649889,0.7056835134703556,
0.89,0.9913793103448276,0.41120381406436235,0.5812973883740522,1348,3,494,345,0.1589041095890411,0.0022205773501110288,0.5887961859356377,0.997779422649889,0.7044916183571257,
0.9,0.9942196531791907,0.4100119189511323,0.580590717299578,1349,2,495,344,0.15799086757990868,0.0014803849000740192,0.5899880810488677,0.9985196150999259,0.7042657670255291,
0.91,0.9942028985507246,0.4088200238379023,0.5793918918918919,1349,2,496,343,0.15753424657534246,0.0014803849000740192,0.5911799761620977,0.9985196150999259,0.7036698194689142,
0.92,0.9970501474926253,0.4028605482717521,0.5738539898132428,1350,1,501,338,0.1547945205479452,0.0007401924500370096,0.5971394517282479,0.999259807549963,0.7010601779108576,
0.93,0.9969879518072289,0.39451728247914186,0.5653287788215201,1350,1,508,331,0.15159817351598173,0.0007401924500370096,0.6054827175208581,0.999259807549963,0.6968885450145524,
0.94,0.9969418960244648,0.38855780691299163,0.5591766723842195,1350,1,513,326,0.14931506849315068,0.0007401924500370096,0.6114421930870083,0.999259807549963,0.6939088072314773,
0.95,0.9968847352024922,0.3814064362336114,0.5517241379310345,1350,1,519,320,0.14657534246575343,0.0007401924500370096,0.6185935637663885,0.999259807549963,0.6903331218917872,
0.96,0.9968454258675079,0.3766388557806913,0.5467128027681661,1350,1,523,316,0.14474885844748858,0.0007401924500370096,0.6233611442193087,0.999259807549963,0.6879493316653271,
0.97,0.9968253968253968,0.3742550655542312,0.5441941074523396,1350,1,525,314,0.14383561643835616,0.0007401924500370096,0.6257449344457687,0.999259807549963,0.6867574365520971,
0.98,0.9967320261437909,0.3635280095351609,0.5327510917030568,1350,1,534,305,0.13972602739726028,0.0007401924500370096,0.636471990464839,0.999259807549963,0.681393908542562,
0.99,1.0,0.35160905840286055,0.5202821869488536,1351,0,544,295,0.13470319634703196,0.0,0.6483909415971395,1.0,0.6758045292014303,
