machine_id,run_id,segment_id,start_time,end_time,duration_seconds,row_count,median_interval_seconds,number_of_gaps_before_segment,safe_for_5min_label,safe_for_10min_label
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_019,2026-07-28 15:36:55.571000+00:00,2026-07-28 15:36:55.571000+00:00,0.0,1,,18,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_020,2026-07-28 15:37:07.180000+00:00,2026-07-28 15:37:07.180000+00:00,0.0,1,,19,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_021,2026-07-28 15:37:19.222000+00:00,2026-07-28 15:37:19.222000+00:00,0.0,1,,20,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_022,2026-07-28 15:37:31.092000+00:00,2026-07-28 15:37:31.092000+00:00,0.0,1,,21,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_023,2026-07-28 15:37:43.388000+00:00,2026-07-28 15:37:43.388000+00:00,0.0,1,,22,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_024,2026-07-28 15:37:55.258000+00:00,2026-07-28 15:37:55.258000+00:00,0.0,1,,23,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_025,2026-07-28 15:38:07.219000+00:00,2026-07-28 15:38:07.219000+00:00,0.0,1,,24,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_026,2026-07-28 15:38:20.462000+00:00,2026-07-28 15:38:20.462000+00:00,0.0,1,,25,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_027,2026-07-28 15:38:33.383000+00:00,2026-07-28 15:38:33.383000+00:00,0.0,1,,26,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_028,2026-07-28 15:38:45.062000+00:00,2026-07-28 15:38:45.062000+00:00,0.0,1,,27,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_029,2026-07-28 15:38:57.025000+00:00,2026-07-28 15:38:57.025000+00:00,0.0,1,,28,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_030,2026-07-28 15:39:09.715000+00:00,2026-07-28 15:39:09.715000+00:00,0.0,1,,29,False,False
