feature_name,training_data_type,training_missing_count,training_missing_percentage,training_unique_count,training_infinite_count,retained_or_removed,reason,median_learned_from_train,missing_indicator_created,high_training_missingness_20pct
disk_write_mb_s_std_120s,float64,25,0.1667,14834,0.0,retained,retained_numeric_training_feature,0.894441459105443,True,False
disk_write_mb_s_change_120s,float64,182,1.2139,9963,0.0,retained,retained_numeric_training_feature,-0.0001,True,False
disk_write_mb_s_missing_pct_120s,float64,0,0.0,61,0.0,retained,retained_numeric_training_feature,0.0,False,False
net_sent_mb_s_mean_30s,float64,4,0.0267,5460,0.0,retained,retained_numeric_training_feature,0.00248125,True,False
net_sent_mb_s_max_30s,float64,4,0.0267,428,0.0,retained,retained_numeric_training_feature,0.011,True,False
net_sent_mb_s_min_30s,float64,4,0.0267,72,0.0,retained,retained_numeric_training_feature,0.0001,True,False
net_sent_mb_s_std_30s,float64,25,0.1667,13461,0.0,retained,retained_numeric_training_feature,0.0032500705120556,True,False
net_sent_mb_s_change_30s,float64,48,0.3201,1136,0.0,retained,retained_numeric_training_feature,0.0,True,False
net_sent_mb_s_missing_pct_30s,float64,0,0.0,16,0.0,retained,retained_numeric_training_feature,0.0,False,False
net_sent_mb_s_mean_60s,float64,4,0.0267,7664,0.0,retained,retained_numeric_training_feature,0.0026933333333333,True,False
net_sent_mb_s_max_60s,float64,4,0.0267,407,0.0,retained,retained_numeric_training_feature,0.0148,True,False
net_sent_mb_s_min_60s,float64,4,0.0267,40,0.0,retained,retained_numeric_training_feature,0.0,True,False
net_sent_mb_s_std_60s,float64,25,0.1667,13465,0.0,retained,retained_numeric_training_feature,0.0036340760901371,True,False
net_sent_mb_s_change_60s,float64,100,0.667,1150,0.0,retained,retained_numeric_training_feature,0.0,True,False
net_sent_mb_s_missing_pct_60s,float64,0,0.0,32,0.0,retained,retained_numeric_training_feature,0.0,False,False
net_sent_mb_s_mean_120s,float64,4,0.0267,9888,0.0,retained,retained_numeric_training_feature,0.0030983606557377,True,False
net_sent_mb_s_max_120s,float64,4,0.0267,352,0.0,retained,retained_numeric_training_feature,0.022,True,False
net_sent_mb_s_min_120s,float64,4,0.0267,30,0.0,retained,retained_numeric_training_feature,0.0,True,False
net_sent_mb_s_std_120s,float64,25,0.1667,13460,0.0,retained,retained_numeric_training_feature,0.00437174253118415,True,False
net_sent_mb_s_change_120s,float64,182,1.2139,1182,0.0,retained,retained_numeric_training_feature,0.0,True,False
net_sent_mb_s_missing_pct_120s,float64,0,0.0,61,0.0,retained,retained_numeric_training_feature,0.0,False,False
net_recv_mb_s_mean_30s,float64,4,0.0267,8728,0.0,retained,retained_numeric_training_feature,0.0039933333333334,True,False
net_recv_mb_s_max_30s,float64,4,0.0267,1038,0.0,retained,retained_numeric_training_feature,0.0262,True,False
net_recv_mb_s_min_30s,float64,4,0.0267,171,0.0,retained,retained_numeric_training_feature,0.0001,True,False
net_recv_mb_s_std_30s,float64,25,0.1667,13878,0.0,retained,retained_numeric_training_feature,0.0070730042083866,True,False
net_recv_mb_s_change_30s,float64,48,0.3201,3570,0.0,retained,retained_numeric_training_feature,0.0,True,False
net_recv_mb_s_missing_pct_30s,float64,0,0.0,16,0.0,retained,retained_numeric_training_feature,0.0,False,False
net_recv_mb_s_mean_60s,float64,4,0.0267,11173,0.0,retained,retained_numeric_training_feature,0.0063806451612903,True,False
net_recv_mb_s_max_60s,float64,4,0.0267,828,0.0,retained,retained_numeric_training_feature,0.0741,True,False
net_recv_mb_s_min_60s,float64,4,0.0267,103,0.0,retained,retained_numeric_training_feature,0.0001,True,False
net_recv_mb_s_std_60s,float64,25,0.1667,13813,0.0,retained,retained_numeric_training_feature,0.01565421021433825,True,False
net_recv_mb_s_change_60s,float64,100,0.667,3715,0.0,retained,retained_numeric_training_feature,0.0,True,False
net_recv_mb_s_missing_pct_60s,float64,0,0.0,32,0.0,retained,retained_numeric_training_feature,0.0,False,False
net_recv_mb_s_mean_120s,float64,4,0.0267,12196,0.0,retained,retained_numeric_training_feature,0.0072099999999999,True,False
net_recv_mb_s_max_120s,float64,4,0.0267,608,0.0,retained,retained_numeric_training_feature,0.1726,True,False
net_recv_mb_s_min_120s,float64,4,0.0267,73,0.0,retained,retained_numeric_training_feature,0.0,True,False
net_recv_mb_s_std_120s,float64,25,0.1667,13732,0.0,retained,retained_numeric_training_feature,0.0276909217837255,True,False
net_recv_mb_s_change_120s,float64,182,1.2139,3694,0.0,retained,retained_numeric_training_feature,0.0,True,False
net_recv_mb_s_missing_pct_120s,float64,0,0.0,61,0.0,retained,retained_numeric_training_feature,0.0,False,False
network_latency_ms_mean_30s,float64,15,0.1,14792,0.0,retained,retained_numeric_training_feature,66.51093333333333,True,False
network_latency_ms_max_30s,float64,15,0.1,1986,0.0,retained,retained_numeric_training_feature,133.455,True,False
network_latency_ms_min_30s,float64,15,0.1,1951,0.0,retained,retained_numeric_training_feature,35.32,True,False
